GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
findmin,io.ssrl,RecursionArrayMin,0,60,1,11,0,12,1,7,0,2
findmin,io.ssrl,App,0,41,0,4,0,12,0,3,0,1
