GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csvgarage,io.ssrl.models,Moto,0,9,0,0,0,3,0,2,0,2
csvgarage,io.ssrl.models,Vehicle,0,147,0,5,0,35,0,12,0,9
csvgarage,io.ssrl.models,Validator,5,104,3,18,1,24,3,12,0,4
csvgarage,io.ssrl.models,Car,0,9,0,0,0,3,0,2,0,2
csvgarage,io.ssrl,App.new ArrayList() {...},0,11,0,0,0,3,0,1,0,1
csvgarage,io.ssrl,App,0,215,1,23,0,54,1,18,0,5
csvgarage,io.ssrl.csvhandler,CSVUtils,97,319,10,26,20,60,10,19,0,11
